ID_Cliente,Cancelou,Genero,Idoso,Tem_Conjuge,Tem_Dependentes,Meses_Permanencia,Servico_Telefone,Multiplas_Linhas,Tipo_Internet,Seguranca_Online,Backup_Online,Protecao_Dispositivo,Suporte_Tecnico,Streaming_TV,Streaming_Filmes,Tipo_Contrato,Fatura_Digital,Metodo_Pagamento,Cobranca_Mensal,Cobranca_Total
0002-ORFBO,Não,Feminino,0,Sim,Sim,9,Sim,Não,DSL,Não,Sim,Não,Sim,Sim,Não,Anual,Sim,Cheque enviado,65.6,5933.0
0003-MKNFE,Não,Masculino,0,Não,Não,9,Sim,Sim,DSL,Não,Não,Não,Não,Não,Sim,Mensal,Não,Cheque enviado,59.9,5424.0
0004-TLHLJ,Sim,Masculino,0,Não,Não,4,Sim,Não,Fibra optica,Não,Não,Sim,Não,Não,Não,Mensal,Sim,Cheque eletrônico,73.9,28085.0
0011-IGKFF,Sim,Masculino,1,Sim,Não,13,Sim,Não,Fibra optica,Não,Sim,Sim,Não,Sim,Sim,Mensal,Sim,Cheque eletrônico,98.0,123785.0
0013-EXCHZ,Sim,Feminino,1,Sim,Não,3,Sim,Não,Fibra optica,Não,Não,Não,Sim,Sim,Não,Mensal,Sim,Cheque enviado,83.9,2674.0
0013-MHZWF,Não,Feminino,0,Não,Sim,9,Sim,Não,DSL,Não,Não,Não,Sim,Sim,Sim,Mensal,Sim,Cartão de crédito,69.4,57145.0
0013-SMEOE,Não,Feminino,1,Sim,Não,71,Sim,Não,Fibra optica,Sim,Sim,Sim,Sim,Sim,Sim,Bianual,Sim,Transf. bancária,109.7,790425.0
0014-BMAQU,Não,Masculino,0,Sim,Não,63,Sim,Sim,Fibra optica,Sim,Não,Não,Sim,Não,Não,Bianual,Sim,Cartão de crédito,84.65,53778.0
0015-UOCOJ,Não,Feminino,1,Não,Não,7,Sim,Não,DSL,Sim,Não,Não,Não,Não,Não,Mensal,Sim,Cheque eletrônico,48.2,34035.0
0016-QLJIS,Não,Feminino,0,Sim,Sim,65,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Sim,Bianual,Sim,Cheque enviado,90.45,59579.0
0017-DINOC,Não,Masculino,0,Não,Não,54,Não,Sem telefone,DSL,Sim,Não,Não,Sim,Sim,Não,Bianual,Não,Cartão de crédito,45.2,246055.0
0017-IUDMW,Não,Feminino,0,Sim,Sim,72,Sim,Sim,Fibra optica,Sim,Sim,Sim,Sim,Sim,Sim,Bianual,Sim,Cartão de crédito,116.8,845675.0
0018-NYROU,Não,Feminino,0,Sim,Não,5,Sim,Não,Fibra optica,Não,Não,Não,Não,Não,Não,Mensal,Sim,Cheque eletrônico,68.95,3515.0
0019-EFAEP,Não,Feminino,0,Não,Não,72,Sim,Sim,Fibra optica,Sim,Sim,Sim,Não,Sim,Não,Bianual,Sim,Transf. bancária,101.3,726125.0
0019-GFNTW,Não,Feminino,0,Não,Não,56,Não,Sem telefone,DSL,Sim,Sim,Sim,Sim,Não,Não,Bianual,Não,Transf. bancária,45.05,25601.0
0020-INWCK,Não,Feminino,0,Sim,Sim,71,Sim,Sim,Fibra optica,Não,Sim,Sim,Não,Não,Sim,Bianual,Sim,Cartão de crédito,95.75,68494.0
0020-JDNXP,Não,Feminino,0,Sim,Sim,34,Não,Sem telefone,DSL,Sim,Não,Sim,Sim,Sim,Sim,Anual,Não,Cheque enviado,61.25,19932.0
0021-IKXGC,Não,Feminino,1,Não,Não,1,Sim,Sim,Fibra optica,Não,Não,Não,Não,Não,Não,Mensal,Sim,Cheque eletrônico,72.1,721.0
0022-TCJCI,Sim,Masculino,1,Não,Não,45,Sim,Não,DSL,Sim,Não,Sim,Não,Não,Sim,Anual,Não,Cartão de crédito,62.7,27915.0
0023-HGHWL,Sim,Masculino,1,Não,Não,1,Não,Sem telefone,DSL,Não,Não,Não,Não,Não,Não,Mensal,Sim,Cheque eletrônico,25.1,251.0
0023-UYUPN,Não,Feminino,1,Sim,Não,50,Sim,Sim,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Anual,Não,Cheque eletrônico,25.2,13063.0
0023-XUOPT,Sim,Feminino,0,Sim,Não,13,Sim,Sim,Fibra optica,Não,Sim,Sim,Não,Sim,Não,Mensal,Não,Cheque eletrônico,94.1,12156.0
0027-KWYKW,Não,Feminino,0,Sim,Sim,23,Sim,Sim,Fibra optica,Não,Não,Não,Não,Sim,Não,Mensal,Sim,Cheque eletrônico,83.75,184995.0
0030-FNXPP,Não,Feminino,0,Não,Não,3,Sim,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Mensal,Não,Cheque enviado,19.85,572.0
0031-PVLZI,Sim,Feminino,0,Sim,Sim,4,Sim,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Mensal,Não,Cheque enviado,20.35,7635.0
0032-PGELS,Sim,Feminino,0,Sim,Sim,1,Não,Sem telefone,DSL,Sim,Não,Não,Não,Não,Não,Mensal,Não,Transf. bancária,30.5,305.0
0036-IHMOT,Não,Feminino,0,Sim,Sim,55,Sim,Não,Fibra optica,Não,Sim,Sim,Sim,Sim,Sim,Anual,Sim,Transf. bancária,103.7,565675.0
0040-HALCW,Não,Masculino,0,Sim,Sim,54,Sim,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Bianual,Não,Cartão de crédito,20.4,10906.0
0042-JVWOJ,Não,Masculino,0,Não,Não,26,Sim,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Anual,Sim,Transf. bancária,19.6,47185.0
0042-RLHYP,Não,Feminino,0,Sim,Sim,69,Sim,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Bianual,Não,Transf. bancária,19.7,13969.0
0048-LUMLS,Não,Masculino,0,Sim,Sim,37,Sim,Não,Fibra optica,Não,Não,Não,Não,Sim,Sim,Anual,Não,Cartão de crédito,91.2,324755.0
0048-PIHNL,Não,Feminino,0,Sim,Não,49,Sim,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Anual,Não,Transf. bancária,20.45,9009.0
0052-DCKON,Não,Masculino,0,Sim,Não,66,Sim,Sim,Fibra optica,Sim,Sim,Sim,Sim,Sim,Sim,Anual,Não,Transf. bancária,115.8,794215.0
0052-YNYOT,Não,Feminino,0,Não,Não,67,Sim,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Anual,Não,Cheque eletrônico,20.55,13434.0
0056-EPFBG,Não,Masculino,0,Sim,Sim,20,Não,Sem telefone,DSL,Sim,Não,Sim,Sim,Não,Não,Bianual,Sim,Cartão de crédito,39.4,8254.0
0057-QBUQH,Não,Feminino,0,Não,Sim,43,Sim,Sim,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Bianual,Sim,Cheque eletrônico,25.1,107015.0
0058-EVZWM,Não,Feminino,0,Sim,Não,55,Sim,Sim,Fibra optica,Sim,Não,Não,Não,Sim,Não,Mensal,Sim,Transf. bancária,89.8,49596.0
0060-FUALY,Não,Feminino,0,Sim,Não,59,Sim,Sim,Fibra optica,Sim,Sim,Não,Não,Sim,Não,Mensal,Sim,Cheque eletrônico,94.75,559765.0
0064-SUDOG,Não,Feminino,0,Sim,Sim,12,Sim,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Bianual,Não,Transf. bancária,20.3,2245.0
0064-YIJGF,Não,Masculino,0,Sim,Sim,27,Sim,Sim,Fibra optica,Não,Não,Não,Não,Não,Não,Mensal,Sim,Transf. bancária,75.75,1929.0
0067-DKWBL,Sim,Masculino,1,Não,Não,2,Sim,Não,DSL,Sim,Não,Não,Não,Não,Não,Mensal,Sim,Cheque eletrônico,49.25,911.0
0068-FIGTF,Não,Feminino,0,Não,Não,27,Sim,Não,DSL,Não,Sim,Sim,Sim,Sim,Sim,Anual,Não,Cheque enviado,78.2,207895.0
0071-NDAFP,Não,Masculino,0,Sim,Sim,25,Sim,Sim,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Bianual,Não,Cartão de crédito,25.5,6306.0
0074-HDKDG,Não,Masculino,0,Sim,Sim,25,Sim,Não,DSL,Sim,Sim,Sim,Não,Não,Não,Anual,Sim,Transf. bancária,61.6,1611.0
0076-LVEPS,Não,Masculino,0,Não,Sim,29,Não,Sem telefone,DSL,Sim,Sim,Sim,Sim,Não,Não,Mensal,Sim,Cheque enviado,45.0,124245.0
0078-XZMHT,Não,Masculino,0,Sim,Não,72,Sim,Sim,DSL,Não,Sim,Sim,Sim,Sim,Sim,Bianual,Sim,Transf. bancária,85.15,63162.0
